Story line,file_name,caption,Chn,??????,mount_point
36,16+1.jpg,"the olympiad was a difficult exam. 
 Everyone started preparing for it.",奥林匹克竞赛是一场艰难的考试。每个人都开始为此做准备。,???????? ?? ???? ??????? ??? ??? ???? ?????? ??? ?? ???,1
37,17.jpg,"Boram was forced to a tutor ""Euler Studio"" 
 session to prepare for the math Olympia.",Boram 被迫参加导师“Euler Studio”课程，为数学奥林匹亚做准备。,???? ??????? ?? ?????? ?? ??? ???? ?? ?? ?????? "???? ????????" ???? ?? ??? ????? ???? ??? ???,1
38,17+1.jpg,She was not comfortable with this exclusive tuition,她对这种独家学费感到不舒服,?? ?? ????? ?????? ?? ??? ???? ??,1
39,18.jpg,Jiwoo continues to be mentored by Mr. Hakseong.,Jiwoo 继续接受 Hakseong 先生的指导。,???? ?? ???? ????????? ?????? ??????? ???? ???? ???? ???,0
40,18+1.jpg,"Jiwoo and Hakseong and 
 Boram continue with classes",Jiwoo、Hakseong 和 Boram 继续上课,???? ?? ??????? ?? ???? ?? ??????? ???? ???,1
41,19.jpg,"many days pass, days turn into months",许多天过去了，日子变成了几个月,"?? ??? ??? ???? ???, ??? ?????? ??? ??? ???? ???",0
42,20.jpg,"Jiwoo is much better in math,
  he can even argue with his 
 teachers over solutions",Jiwoo 的数学要好得多，他甚至可以和老师争论解决方案,"???? ???? ??? ???? ????? ??, ?? ?????? ?? ??? ???? ???????? ?? ??? ?? ?? ???? ??",1
43,20+1.jpg,"The Euler Studio started to teach Boram 
 how to solve a specific set of questions.",Euler Studio 开始教 Boram 如何解决一组特定的问题。,???? ???????? ?? ???? ?? ?? ?????? ???? ???? ?? ???????? ?? ?? ??????? ??? ?? ???? ?? ???? ????,1
44,21.jpg,"on the day of the olympiad, 
 she realises that the questions 
 are exact copy of the one's
  she solved in the tuition",在奥林匹克竞赛的那天，她意识到这些问题与她在补习班中解决的问题完全相同,"???????? ?? ???, ??? ??? ???? ?? ?? ?????? ??? ?? ????? ???? ???, ???? ???? ?????? ??? ?? ???? ??",1
45,21+1.jpg,"Boram felt furious and utter shame for 
 what her parents set her into. This was cheating! 
 She was devastated and gave up on 
 the Olympiad on the spot.",Boram 对父母让她陷入的境地感到愤怒和极度羞愧。这是作弊！她悲痛欲绝，当场放弃了奥林匹克竞赛。,"???? ?? ?????? ??? ?? ???? ????-???? ?? ??? ?? ??? ????, ???? ??? ??? ???? ????????? ????? ???? ?? ???? ??! ?? ???? ?? ?? ?? ???? ???????? ??? ???? ?? ?? ??? ??? ???",0
46,22.jpg,"Boram notifies the concerned
  people through a facebook page, 
 anonymously, about the leaked questions",Boram 通过 Facebook 页面以匿名方式通知有关人员泄露的问题,???? ??? ??? ???????? ?? ???? ??? ?????? ??? ?? ?? ?????? ??? ?? ?????? ?? ??????? ????? ?? ????? ???? ??,1
47,22+1.jpg,"the math teacher accuses 
 Jiwoo of leasking the papers",数学老师指责智宇泄露试卷,???? ?? ?????? ???? ?? ???? ??? ???? ?? ???? ????? ???,0
48,23.jpg,"when the authorities see Jiwoo going 
 in the printer room, Jiwoo could not defend himself",当当局看到 Jiwoo 进入打印机室时，Jiwoo 无法为自己辩护,?? ?????????? ?? ???? ?? ??????? ??? ??? ???? ???? ?? ???? ???? ???? ???? ?? ???,1
49,23+1.jpg,"he was expelled from the school
  and was forced transfer to 
 a community school",他被学校开除并被迫转到社区学校,?????? ????? ?? ????? ???? ??? ?? ?? ?? ????????? ????? ??? ??????????? ???? ?? ??? ????? ???? ??? ??,0
50,24.jpg,"new challenges lied ahead of 
 Jiwoo as he changed schools",Jiwoo 转校后面临新的挑战,?? ???? ????? ???? ?? ???? ?? ????? ?? ????????? ???,1
51,25.jpg,"But Jiwoo was actually printing out a Mathematic
  paper for Mr. Hakseong to read so that 
 Mr. Hakseong's desire on math could be satisfied.",可智宇其实是在打印一份数学论文给学成先生看，满足学成先生对数学的渴望。,????? ???? ?????? ??? ???? ????????? ?? ????? ?? ??? ?? ???? ?? ???? ?????? ?? ??? ?? ???? ???? ????????? ?? ???? ?? ????? ?? ??????? ???? ?? ????,0
52,25+1.jpg,"boram believed in truth, 
 and she could not stand 
 being in a school which 
 was so dishonest, so she 
 joined the school Jiwoo 
 transferred to.",boram 相信真理，她无法忍受在一个如此不诚实的学校里，所以她加入了 Jiwoo 转学的学校。,"???? ?????? ??? ??????? ???? ??, ?? ?? ?? ??? ????? ??? ???? ???????? ???? ?? ???? ?? ?? ???? ?????? ??, ????? ???? ?? ????? ??? ?????? ???? ???? ???? ?? ??????????? ???? ??? ???",1
53,26.jpg,"this school did not have too many
  genius people and the math classes
 were not very difficult",这所学校没有太多的天才，数学课也不是很难,?? ????? ??? ???? ???? ?????? ??? ???? ?? ?? ???? ?? ??????? ???? ???? ???? ???,0
54,26+1.jpg,"with lowered math difficulty, 
 and his regualr classes with Hakseong, 
 Jiwoo found that he is able to score well in class",随着数学难度的降低，以及他与 Hakseong 的常规课程，Jiwoo 发现他能够在课堂上取得很好的成绩,"?? ???? ?? ?????? ?? ???, ?? ????????? ?? ??? ???? ?????? ??????? ?? ???, ???? ?? ???? ?? ?? ????? ??? ????? ????? ???? ??? ????? ??",1
55,27.jpg,"With what he learned from Mr. Hakseong, 
 Jiwoo started to help his friends with math.",凭借从 Hakseong 老师那里学到的知识，Jiwoo 开始帮助他的朋友们学习数学。,"???? ????????? ?? ?? ???? ???? ???, ???? ?? ???? ??? ???? ??????? ?? ??? ???? ???? ?? ?????",1
56,27+1.jpg,"And he was willing to “walk the second mile”
  with whoever needs his help.",谁需要他的帮助，他就愿意“走第二里路”。,"?? ??? ???? ?? ?? ???? ??? ?? ????? ??, ?? ???? ??? ""????? ??? ????"" ?? ??? ????? ???",0
57,29.jpg,But he was able to adjust well.,但他能够很好地适应。,????? ?? ????? ??? ?? ???????? ???? ??? ????? ???,1
58,30.jpg,"Jiwoo and Mr. Hakseong went to the bookstore, 
 Jiwoo bought him a stuffed toy as a present, 
 for helping him out so much.",智宇和鹤城老师去书店，智宇帮他做了这么多，给他买了一个毛绒玩具作为礼物。,"???? ?? ???? ????????? ??????? ?? ????? ?? ??, ???? ?? ????? ?? ??? ??? ???? ???? ??? ???? ?? ??? ?? ????? ?????? ??????",1
59,31.jpg,"At the book store, some people
  recognized the mathematician!",在书店，有人认出了这位数学家！,??????? ?? ????? ?? ??? ????? ?? ??????? ?? ????? ????!,0
60,32.jpg,"hakseong later realised that he
  was being monitored by 
 North Korean government",hakseong 后来意识到他正受到朝鲜政府的监视,??? ??? ??????? ?? ????? ??? ?? ????? ??????? ????? ?????? ???? ??????? ?? ?? ??? ??,1
61,32+1.jpg,"North Korea claims that 
 the South kidnapped their top scientist, 
 who has solved the Riemann's Theorem",朝鲜声称韩国绑架了他们解决了黎曼定理的顶尖科学家,"????? ?????? ?? ???? ?? ?? ?????? ?? ???? ????? ????????? ?? ????? ?? ???? ??, ????????? ????? ?? ?????? ?? ?? ???? ??",1
62,32+2.jpg,"The prove of Reimann's theorem is an 
 earthquake to the math field, it will put
  an end to the current prime number 
 based cryptogram system and could 
 be a powerful weapon to North Korea 
 government to change the world.",莱曼定理的证明对数学界来说是一场地震，它将终结目前基于素数的密码系统，并可能成为朝鲜政府改变世界的有力武器。,"????? ?? ?????? ?? ?????? ???? ??????? ?? ??? ?? ????? ??, ?? ??????? ?????? ?????? ?????? ????????????? ??????? ?? ?????? ?? ???? ?? ?????? ?? ????? ?? ??? ????? ?????? ????? ?? ??? ?? ????????? ?????? ?? ???? ???",1
63,33.jpg,so he decided to run away!,所以他决定逃跑！,????? ???? ????? ?? ????? ????!,0
64,33+1.jpg,"He took the first train in the 
 morning and left the city.",他乘坐早上的第一班火车离开了这座城市。,???? ???? ???? ????? ????? ?? ??? ???? ?????,0
65,34.jpg,"Jiwoo and Boram were worried 
 about Mr. Hakseong and they 
 went out to look for him.",Jiwoo 和 Boram 担心 Hakseong 先生，他们出去寻找他。,???? ?? ???? ???? ????????? ?? ???? ??? ?????? ?? ?? ?? ???? ???? ??? ???? ?????,0
66,34+1.jpg,"they looked everywhere, 
 but the could not find Mr. Hakseong.",他们到处寻找，但找不到Hakseong先生。,"???????? ?? ??? ????, ????? ???? ????????? ?? ???? ???? ????",1
67,35.jpg,"Soon, they realized that North Korean
  agents we watching them as well…",很快，他们意识到我们也在监视他们的朝鲜特工……,"???? ??, ?????? ????? ??? ?? ????? ??????? ????? ?? ?????? ?? ??? ??? ???...",1
68,35+1.jpg,So they figured that they need to do something to help Mr. Hakseong.,所以他们认为他们需要做点什么来帮助 Hakseong 先生。,????? ???????? ???? ?? ???? ????????? ?? ?????? ?? ??? ?????? ??? ???? ?? ???????? ???,1
69,36.jpg,"So they decided to split! 
 But they continued their 
 search for their beloved mentor.",于是他们决定分手！但他们继续寻找他们心爱的导师。,????? ???????? ??? ???? ?? ????? ????! ????? ???????? ???? ????? ???? ?? ???? ???? ????,0
70,37.jpg,"Boram found Mr. Hakseong 
 and informed him 
 of the current situation
 How Jiwoo is accused of leaking the paper, 
 and that he has been expelled",宝蓝找到学成先生，告知他目前的情况，智宇被指控泄露论文，已被开除,"???? ?? ???? ???????? ?? ????? ?? ?????? ??????? ?????? ?? ???? ??? ????? ?? ??? ??? ???? ?? ???? ??? ???? ?? ???? ????? ??? ??, ?? ??? ????????? ?? ???? ??? ??",0
71,38.jpg,"Mr. Hakseong realized that 
 in order to redress an injustice
  for Jiwoo, he needed
  to expose himself.",Hakseong 先生意识到，为了为 Jiwoo 伸冤，他需要暴露自己。,?????? ??????? ?? ????? ???? ?? ???? ?? ??? ?? ??? ?????? ?? ??? ???? ?? ??? ?????? ??? ?? ?????? ???? ?? ????? ???,1
72,39.jpg,"Hakseong wrote to his 
 mathematician friend to ask for help.",Hakseong 写信给他的数学家朋友寻求帮助。,??????? ?? ???? ??????? ????? ?? ??? ?????? ?? ??? ?????,1
73,40.jpg,"Mr. Hakseong decided to go to Jiwoo's 
 school to confront the math teacher.",Hakseong 先生决定去 Jiwoo 的学校与数学老师对质。,?????? ??????? ?? ???? ?? ?????? ?? ?????? ?? ??? ???? ?? ????? ???? ?? ????? ?????,1
74,41+1.jpg,"With the paper printed by Jiwoo, 
 Mr. Hakseong was able to confront 
 the Math teacher of the frame 
 that he put on Jiwoo.",有了智宇打印的试卷，鹤城先生得以与他放在智宇身上的画框里的数学老师对峙。,"???? ?????? ?????? ??? ?? ???? ?? ???, ?????? ??????? ?? ????? ?? ??? ???? ?? ????? ???? ??? ????? ??, ???? ???????? ???? ?? ????? ???",1
75,41+3.jpg,"The mathematician friend found out 
 through his connection that it was the
  math teacher who was behind the 
 Euler's studio, and made a lot of money 
 by leaking the Olympia questions.",这位数学家朋友通过他的关系得知原来欧拉工作室的幕后黑手就是数学老师，并通过泄露奥林匹亚题大赚了一笔。,"??????? ????? ?? ???? ????? ?? ?????? ?? ??? ????? ?? ?? ???? ?? ?????? ?? ?? ???? ?? ???????? ?? ???? ??, ?? ??????? ?? ???????? ?? ??? ???? ???? ???? ??????",0
76,41+2.jpg,"The math teacher was blamed for 
 leaking of olympiad question paper!",数学老师泄露奥数试卷被骂！,???????? ?? ?????? ???? ??? ???? ?? ???? ???? ?? ?????? ??!,1
77,41.jpg,"The school board decided to punish 
 the math teacher and fire him effectively. 
 This decision also led to Jiwoo's 
 return to the school.",学校董事会决定惩罚数学老师并有效解雇他。这个决定也让智宇回到了学校。,????? ????? ?? ???? ?? ?????? ?? ????? ???? ?? ??? ??????? ??? ?? ???????? ???? ?? ????? ????? ?? ????? ?? ???? ?? ????? ??? ????? ?? ????,0
78,42.jpg,"Mr. Hakseong remains uncertain
  about his future as he fears 
 that North Korean agents may 
 come again soon.",Hakseong 先生仍然不确定自己的未来，因为他担心朝鲜特工可能很快就会再次出现。,???? ???????? ???? ?????? ?? ???? ???????? ??? ??????? ?????? ?? ?? ?? ????? ??????? ????? ???? ?? ??? ?? ? ???? ????,0
79,42+1.jpg,"However, his old friend, a nearby recycle dealer, 
 who is actually a secret South Korean agent 
 tasked with protecting him,",然而，他的老朋友，附近的回收商，实际上是韩国的秘密特工，负责保护他，,"???????, ???? ?????? ?????, ??? ?? ?? ??????? ????, ?? ?????? ??? ?? ????? ?????? ??????? ????? ?? ???? ???? ????? ???? ?? ??? ????? ??? ??,",1
80,42+2.jpg,"has received orders
  from the government to send Mr. Hakseong to 
 Germany for ultimate protection.",已收到政府命令，将 Hakseong 先生送往德国进行最终保护。,??? ??????? ?? ??? ???? ????????? ?? ?????? ????? ?? ??? ????? ?? ???? ??????? ??? ???,0
81,42+3.jpg,It turns out that even the fake passport is prepared.,原来连假护照都准备好了。,??? ??? ?? ????? ???????? ?? ????? ???? ???? ???,0
82,42+4.jpg,"Farewell, Mr. Hakseong. 
 Hope we can be reunited one day.",再见了，鹤城先生。希望有一天我们能重逢。,"??????, ?????? ???????? ??? ?? ?? ?? ?? ??? ??? ?? ??? ???? ????",1
83,43.jpg,"Jiwoo showed dedication and hard work 
 in his studies, consistently earning 
 high grades and impressing his 
 teachers with his understanding of math.",Jiwoo 在学习上表现出奉献和努力，一直取得高分，并以他对数学的理解给老师留下了深刻的印象。,"???? ?? ???? ????? ??? ??? ?? ???? ????? ?????, ?????? ???? ????? ?????? ??? ?? ???? ?? ???? ??? ?? ???? ???????? ?? ???????? ?????",0
84,43+0.jpg,"His efforts paid off, as he gained recognition
  for his academic achievements and set a 
 strong foundation for future success.",他的努力得到了回报，他的学术成就得到了认可，并为未来的成功奠定了坚实的基础。,"???? ???????? ?? ?????? ????, ??????? ???????? ???? ???????? ?????????? ?? ??? ??????? ??????? ?? ?? ?????? ?? ????? ?? ??? ?? ????? ???? ????",0
85,43+1.jpg,"And he graduated with flying colors! 
 Everyone applauded his academic achievements",他以优异的成绩毕业了！每个人都为他的学术成就鼓掌,?? ???????? ????? ??? ????? ?? ??? ?????? ????! ??? ?? ???? ???????? ?????????? ?? ?????? ??,0
86,43+2.jpg,"The North Korea agents are so upset that 
 they could not reach Mr. Hakseong any more.",朝鲜特工非常沮丧，以至于他们无法再联系到 Hakseong 先生。,????? ?????? ?? ????? ???? ?????? ??? ?? ?? ?? ?????? ???????? ?? ???? ????? ????,0
87,44+0.jpg,"Jiwoo eventually landed a job as a Math 
 
 researcher at the prestigious Seoul National University.",Jiwoo 最终在著名的首尔国立大学找到了一份数学研究员的工作。,???? ?? ????? ?????????? ????? ????? ??????????? ??? ???? ???????? ?? ??? ??? ????? ?????,1
88,44+1.jpg,"He quickly made a name for himself in
  the academic community.",他很快在学术界声名鹊起。,???????? ????? ?? ??????? ?????? ??? ???? ??? ??? ?????,0
89,44.jpg,"His work focused on solving complex mathematical 
 problems and developing new theories in the field.",他的工作重点是解决复杂的数学问题和开发该领域的新理论。,???? ??? ???? ?????? ???????? ?? ?? ???? ?? ??????? ??? ?? ?????????? ?? ?????? ???? ?? ???????? ???,0
90,45.jpg,"Oppoturnity eventually came up that there 
 is an cooperation program between South Korea 
 and Germany government. Missing Mr. Hakseong 
 so much, Jiwoo applied for it, hoping to meet 
 Mr. Hakseong if he is fortunate enough.",机会终于来了，韩国和德国政府之间有一个合作计划。太想念鹤城先生了，智宇申请了，希望有幸见到鹤城先生。,"???? ????? ??? ?? ?????? ?????? ?? ?????? ????? ?? ??? ?? ????? ????????? ??? ???? ????????? ?? ???? ??? ???? ???, ???? ?? ???? ??? ????? ????, ?????? ?? ?? ??? ?? ????????? ??? ?? ???? ????????? ?? ??? ???????",1
91,45+1.jpg,"He finally was able to step on this 
 European country where many 
 great mathematicians were born.",他终于能够踏上这个诞生了许多伟大数学家的欧洲国家。,?? ??????? ?? ??????? ??? ?? ??? ???? ??? ????? ?? ?? ???? ?? ???? ??????? ???? ??? ???,1
92,45+2.jpg,"While on one of his work trips,
  Jiwoo had the opportunity
  to meet Mr.Hakseong at the 
 Max-Planck Gesellschaft in Germany.",在他的一次工作旅行中，Jiwoo 有机会在德国的 Max-Planck Gesellschaft 会见了 Hakseong 先生。,"???? ?? ????? ?????? ?? ?????, ???? ?? ?????? ??? ?????-?????? ?????????? ??? ?????? ???????? ?? ????? ?? ???? ?????",0
93,45+3.jpg,"Jiwoo never forgot the impact Mr.Hakseung 
 had on his career. He was grateful for the 
 lessons he had learned from Hakseung, 
 both academically and personally.",Jiwoo 从未忘记 Hakseung 先生对他职业生涯的影响。他很感激从 Hakseung 那里学到的东西，无论是在学术上还是在个人方面。,"???? ??? ?? ??. ????? ?? ?????? ?? ???? ????? ?? ???? ????? ?????? ?? ???????? ??????? ?? ????????? ??? ?? ?? ??? ???? ??, ???? ??? ?? ????? ???",1
94,45+4.jpg,"Jiwoo missed the time under 
 Mr. Hakseong's mentoring so much.",Jiwoo非常怀念在Hakseong先生指导下的时光。,???? ?? ???? ????????? ?? ???? ?? ??? ??? ?? ???? ??? ?????,0
95,46.jpg,"Jiwoo credited much of his success in the 
 field to the lessons he had learned from 
 Hakseung. He believed that the collaboration 
 and exchange of ideas with Hakseung had 
 helped him grow as a mathematician and 
 had pushed him to strive for excellence in his work.",Jiwoo 将他在该领域的成功很大程度上归功于他从 Hakseung 那里学到的教训。他相信与 Hakseung 的合作和思想交流帮助他成长为一名数学家，并促使他在工作中追求卓越。,???? ?? ?? ??????? ??? ???? ??????? ????? ?? ????? ?? ????? ?? ???? ?? ???????? ?????? ?? ???? ??? ???? ????? ?? ?? ?????? ?? ??? ????? ?? ??????? ?? ????-?????? ?? ?????? ?? ??????? ?? ??? ??? ?????? ???? ??? ??? ?? ?? ?? ?????? ???? ??? ??? ?????????? ?? ??? ?????? ???? ?? ??? ??????? ???? ???,1
